id,name,name-slug
39,Combination Sum,combination-sum
38,Count and Say,count-and-say
37,Sudoku Solver,sudoku-solver
36,Valid Sudoku,valid-sudoku
35,Search Insert Position,search-insert-position
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array
32,Longest Valid Parentheses,longest-valid-parentheses
31,Next Permutation,next-permutation
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words
29,Divide Two Integers,divide-two-integers
28,Implement strStr(),implement-strstr
27,Remove Element,remove-element
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group
24,Swap Nodes in Pairs,swap-nodes-in-pairs
23,Merge k Sorted Lists,merge-k-sorted-lists
22,Generate Parentheses,generate-parentheses
21,Merge Two Sorted Lists,merge-two-sorted-lists
20,Valid Parentheses,valid-parentheses
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list
18,4Sum,4sum
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number
16,3Sum Closest,3sum-closest
15,3Sum,3sum
14,Longest Common Prefix,longest-common-prefix
13,Roman to Integer,roman-to-integer
12,Integer to Roman,integer-to-roman
11,Container With Most Water,container-with-most-water
10,Regular Expression Matching,regular-expression-matching
9,Palindrome Number,palindrome-number
8,String to Integer (atoi),string-to-integer-atoi
7,Reverse Integer,reverse-integer
6,Zigzag Conversion,zigzag-conversion
5,Longest Palindromic Substring,longest-palindromic-substring
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters
2,Add Two Numbers,add-two-numbers
1,Two Sum,two-sum
